Word,Wdnum,ValMn,ValSD,AroMn,AroSD,DomMn,DomSD,Length
dent,1412,2.93,(1.49),5.69,(2.02),4.03,(1.86),4
dentist,589,4.02,(2.23),5.73,(2.13),3.80,(2.16),7
deny,1413,3.79,(1.29),4.86,(1.76),4.36,(1.99),4
depart,1414,3.63,(2.39),4.37,(2.48),3.63,(2.20),6
depressed,107,1.83,(1.42),4.72,(2.95),2.74,(2.13),9
depression,108,1.85,(1.67),4.54,(3.19),2.91,(2.27),10
derelict,722,4.28,(1.84),4.10,(1.94),4.78,(1.56),8
descent,1415,5.00,(1.47),4.58,(2.06),4.83,(1.83),7
desert,1416,4.96,(2.50),4.82,(2.34),5.00,(2.09),6
deserter,109,2.45,(1.80),5.50,(2.55),3.77,(2.29),8
desire,508,7.69,(1.39),7.35,(1.76),6.49,(1.83),6
desk,1417,4.66,(1.14),4.03,(1.72),5.55,(1.94),4
despair,2685,2.99,(1.86),4.49,(2.16),4.30,(2.14),7
despairing,110,2.43,(1.47),5.68,(2.37),3.43,(2.11),10
desperate,2686,2.77,(1.58),5.03,(2.60),3.51,(2.25),9
despise,111,2.03,(1.38),6.28,(2.43),4.72,(2.80),7
dessert,2687,7.30,(2.09),6.14,(2.44),5.44,(2.31),7
destroy,112,2.64,(2.03),6.83,(2.38),4.94,(2.86),7
destruction,723,3.16,(2.44),5.82,(2.71),3.93,(2.29),11
detach,1418,3.19,(1.57),4.19,(2.32),3.93,(2.34),6
detached,113,3.86,(1.88),4.26,(2.57),3.63,(2.15),8
detail,724,5.55,(1.58),4.10,(2.24),5.21,(1.60),6
detain,1419,3.03,(1.35),5.52,(2.13),3.58,(1.91),6
detest,114,2.17,(1.30),6.06,(2.39),5.83,(2.60),6
devil,115,2.21,(1.99),6.07,(2.61),5.35,(2.75),5
devote,1420,6.32,(1.49),5.37,(1.88),6.19,(1.82),6
devoted,116,7.41,(1.37),5.23,(2.21),6.18,(2.36),7
devour,1421,5.62,(2.13),5.39,(2.02),5.00,(2.09),6
dew,1422,5.59,(1.52),3.64,(1.79),5.10,(1.74),3
diamond,117,7.92,(1.20),5.53,(2.96),5.54,(2.28),7
diary,1423,5.73,(1.04),3.69,(1.95),6.38,(2.02),5
dice,1424,5.72,(1.28),4.96,(2.15),4.64,(1.93),4
dictator,2688,2.15,(1.55),5.50,(2.70),3.58,(2.98),8
die,1425,2.48,(1.70),6.38,(2.64),2.55,(2.23),3
different,2689,5.57,(1.68),5.04,(1.84),5.35,(1.71),9
difficult,1426,2.93,(1.59),5.96,(2.10),4.19,(2.59),9
dignified,118,7.10,(1.26),4.12,(2.29),6.12,(2.40),9
dine,2690,6.42,(1.87),4.94,(2.16),5.75,(1.86),4
dinner,509,7.16,(1.50),5.43,(2.14),6.10,(1.87),6
diploma,119,8.00,(1.39),5.67,(2.80),6.76,(2.50),7
dirt,725,4.17,(1.77),3.76,(2.26),4.83,(1.82),4
dirty,590,3.08,(2.05),4.88,(2.29),4.70,(2.12),5
disability,1427,2.52,(1.27),4.46,(2.49),2.43,(1.50),10
disappoint,120,2.39,(1.44),4.92,(2.64),3.29,(2.32),10
disappointed,1428,2.21,(1.47),4.82,(2.88),3.11,(2.13),12
disappointment,1429,2.37,(1.27),4.60,(2.40),3.20,(2.04),14
disaster,121,1.73,(1.13),6.33,(2.70),3.52,(2.42),8
discomfort,726,2.19,(1.23),4.17,(2.44),3.86,(2.26),10
discount,1430,7.48,(1.48),6.10,(2.02),5.94,(1.91),8
discouraged,122,3.00,(2.16),4.53,(2.11),3.61,(2.01),11
discovery,2691,6.76,(1.74),5.77,(2.48),5.99,(1.89),9
discuss,2692,5.60,(1.48),4.69,(2.22),5.70,(1.58),7
disdainful,123,3.68,(1.90),5.04,(2.14),4.55,(1.92),10
disease,1431,2.03,(1.24),5.32,(2.47),2.71,(1.84),7
disgrace,2693,2.54,(1.55),4.44,(2.58),4.20,(2.49),8
disgusted,124,2.45,(1.41),5.42,(2.59),4.34,(1.94),9
disgusting,1432,2.96,(1.55),5.18,(2.28),3.64,(2.04),10
dishes,1433,3.63,(1.56),4.06,(2.23),4.84,(1.76),6
dishwasher,2694,4.78,(1.59),3.62,(1.98),5.23,(1.68),10
disk,1434,5.25,(0.89),3.86,(1.82),5.64,(1.45),4
dislike,2695,3.12,(1.55),4.06,(1.93),5.48,(2.18),7
disloyal,125,1.93,(1.61),6.56,(2.21),3.79,(2.75),8
dismissive,2696,3.27,(1.50),4.04,(1.90),4.25,(1.93),10
disobedient,2697,3.00,(1.54),4.73,(2.21),4.72,(2.16),11
disobey,2698,3.42,(1.76),5.07,(2.12),5.20,(2.30),7
disorder,1435,2.72,(1.46),5.42,(2.32),2.71,(1.55),8
displeased,126,2.79,(2.23),5.64,(2.48),4.19,(2.19),10
disrespect,2699,2.47,(1.45),5.02,(2.45),4.82,(2.59),10
disrespectful,2700,2.71,(1.77),4.72,(2.21),5.16,(2.11),13
disruptive,2701,3.19,(1.66),5.41,(2.34),4.91,(2.16),10
dissolve,2702,4.54,(1.29),3.89,(1.80),4.85,(1.42),8
distracted,1436,4.48,(1.95),4.56,(2.26),4.07,(1.82),10
distress,1437,2.67,(2.01),5.70,(2.34),3.03,(1.94),8
distressed,127,1.94,(1.10),6.40,(2.38),3.76,(2.41),10
distrust,2703,2.47,(1.37),4.86,(2.46),4.44,(2.33),8
disturb,727,3.66,(2.00),5.80,(2.39),4.55,(1.90),7
disturbance,2704,3.09,(1.46),4.96,(2.18),4.65,(1.87),11
diver,510,6.45,(1.55),5.04,(2.10),5.04,(1.91),5
divert,1438,4.44,(1.72),5.22,(2.44),4.89,(2.26),6
divorce,128,2.22,(1.88),6.33,(2.71),3.26,(2.24),7
doctor,129,5.20,(2.54),5.86,(2.70),4.89,(2.75),6
dog,511,7.57,(1.66),5.76,(2.50),6.25,(2.10),3
doll,728,6.09,(1.96),4.24,(2.43),4.61,(2.07),4
dollar,729,7.47,(1.72),6.07,(2.67),6.33,(2.42),6
donate,1439,6.89,(1.69),4.48,(2.15),6.70,(1.79),6
donkey,1440,5.54,(1.50),4.22,(1.97),5.67,(1.52),6
donor,1441,6.43,(1.71),5.11,(1.97),6.07,(1.86),5
door,130,5.13,(1.44),3.80,(2.29),4.69,(1.72),4
doorbell,2705,5.40,(1.27),4.74,(2.13),5.21,(1.49),8
dork,2706,4.51,(1.95),4.36,(2.03),4.77,(2.05),4
doubt,1442,3.43,(1.97),4.50,(2.15),3.64,(1.93),5
doubtful,1443,3.41,(1.18),4.28,(1.83),3.76,(1.72),8
dough,1444,6.09,(1.59),4.59,(1.93),5.69,(1.79),5
doughnut,2707,7.04,(1.96),5.56,(2.56),5.56,(2.26),8
dove,730,6.90,(1.54),3.79,(2.28),5.48,(1.70),4
dozen,2708,5.30,(1.12),3.98,(1.92),5.20,(1.16),5
dragon,1445,5.43,(1.85),5.50,(2.33),4.39,(1.93),6
drama,1446,3.86,(2.59),6.39,(1.93),5.32,(2.36),5
dreadful,131,2.26,(1.91),5.84,(2.62),4.10,(2.36),8
dream,132,6.73,(1.75),4.53,(2.72),5.53,(1.98),5
dreaming,2709,7.11,(1.64),5.06,(2.60),5.14,(2.19),8
dreams,1447,7.14,(1.46),6.48,(1.88),5.38,(2.38),6
dreary,731,3.05,(1.58),2.98,(2.18),3.81,(1.64),6
dress,133,6.41,(1.34),4.05,(1.89),5.00,(1.89),5
drill,1448,4.40,(1.57),5.40,(1.69),4.80,(1.73),5
driver,1449,6.13,(1.28),4.87,(1.80),6.35,(1.87),6
drool,2710,4.59,(1.81),4.10,(2.15),5.16,(1.91),5
droop,1450,3.21,(1.74),3.39,(1.79),3.96,(0.96),5
drown,1451,2.20,(1.68),6.84,(2.17),2.68,(2.32),5
drugs,1452,3.76,(2.20),6.00,(2.39),4.75,(2.62),5
drunk,1453,6.17,(2.50),6.11,(2.46),4.54,(2.59),5
dry,2711,4.17,(1.45),3.49,(1.88),5.06,(1.81),3
dryer,1454,5.03,(1.12),3.79,(1.76),5.50,(1.50),5
ducks,1455,6.20,(1.56),4.34,(2.18),5.24,(1.43),5
duct,1456,4.86,(1.06),4.17,(1.81),5.17,(1.67),4
duet,1457,6.27,(1.26),5.43,(1.94),5.27,(1.51),4
dull,2712,3.53,(1.56),2.76,(2.08),4.52,(2.27),4
dumb,1458,3.00,(2.15),4.24,(2.21),3.69,(1.91),4
dummy,732,3.38,(1.70),4.35,(2.25),3.67,(2.02),5
dump,733,3.21,(1.87),4.12,(2.36),3.83,(1.87),4
dune,1459,5.03,(1.57),4.17,(2.02),5.10,(1.40),4
dusk,1460,5.40,(1.50),4.37,(1.87),4.77,(1.41),4
dust,1461,3.90,(1.89),4.10,(1.99),4.50,(1.57),4
dustpan,555,3.98,(1.68),3.43,(2.00),5.45,(1.81),7
duty,1462,5.81,(1.83),5.06,(2.08),5.19,(1.82),4
dwarf,1463,5.11,(1.85),4.32,(1.74),5.14,(1.82),5
dwell,1464,4.87,(1.65),4.00,(2.02),5.35,(1.89),5
dying,2713,2.04,(1.59),5.07,(2.79),3.06,(2.51),5
eager,1465,7.32,(1.28),6.57,(2.04),5.14,(1.78),5
eagerness,1466,6.21,(1.89),6.29,(1.84),5.39,(1.50),9
eagle,1467,6.03,(1.66),4.76,(1.86),4.79,(1.76),5
earn,2714,7.06,(1.81),5.54,(2.56),6.41,(2.14),4
earth,134,7.15,(1.67),4.24,(2.49),5.61,(2.30),5
ease,1468,6.93,(1.46),3.46,(2.41),6.71,(2.02),4
easel,1469,5.41,(1.43),4.43,(1.71),5.43,(1.97),5
easy,734,7.10,(1.91),4.48,(2.82),7.00,(1.63),4
easygoing,135,7.20,(1.50),4.30,(2.52),5.25,(1.75),9
eat,136,7.47,(1.73),5.69,(2.51),5.60,(2.12),3
eccentric,2715,6.40,(1.78),5.59,(2.28),5.66,(1.60),9
echo,1470,6.17,(1.62),5.07,(1.74),5.17,(1.39),4
ecstasy,735,7.98,(1.52),7.38,(1.92),6.68,(2.08),7
ecstatic,1471,8.41,(1.27),7.71,(1.82),6.14,(2.03),8
education,137,6.69,(1.77),5.74,(2.46),6.15,(2.35),9
effective,1472,7.06,(1.69),5.03,(2.44),6.13,(2.50),9
efficient,1473,7.07,(1.63),5.57,(2.15),6.43,(2.36),9
egg,736,5.29,(1.82),3.76,(2.39),4.49,(2.16),3
ego,1474,5.07,(1.31),4.66,(1.45),6.66,(1.86),3
egomaniac,2716,3.28,(1.87),4.90,(2.32),4.95,(2.20),9
egotistical,2717,3.64,(1.85),4.45,(2.21),5.36,(2.33),11
ejaculate,1475,5.92,(1.44),6.62,(1.58),5.65,(2.21),9
elated,138,7.45,(1.77),6.21,(2.30),5.53,(2.35),6
elbow,737,5.12,(0.92),3.81,(2.14),4.88,(1.52),5
elderly,1476,4.86,(2.05),4.03,(2.41),3.83,(1.85),7
electricity,2718,5.64,(1.43),5.00,(2.02),5.24,(1.67),11
electrocute,2719,2.83,(1.85),6.08,(2.52),4.30,(2.48),11
electronic,2720,6.22,(1.62),5.02,(2.32),5.70,(1.76),10
elegant,139,7.43,(1.26),4.53,(2.65),5.95,(2.09),7
elephant,1477,6.48,(1.72),5.59,(2.45),4.70,(2.46),8
elevator,738,5.44,(1.18),4.16,(1.99),4.32,(1.69),8
embark,1478,6.47,(1.57),5.83,(2.45),6.17,(1.66),6
embarrass,1479,2.50,(1.45),6.14,(2.40),2.78,(2.36),9
embarrassed,140,3.03,(1.85),5.87,(2.55),2.87,(1.99),11
embarrassment,1480,2.34,(1.82),6.54,(2.28),2.71,(2.14),13
embattled,141,4.39,(1.63),5.36,(2.37),4.81,(1.79),9
embrace,2721,7.33,(1.54),5.56,(2.41),6.13,(2.06),7
emerald,2722,6.12,(1.63),4.58,(2.05),5.67,(1.59),7
emergency,2723,3.41,(1.52),6.32,(2.49),4.60,(2.38),9
emotional,1481,4.36,(1.91),5.75,(2.37),4.29,(1.63),9
empathy,1482,5.32,(2.42),4.81,(2.20),4.33,(2.09),7
empire,1483,6.26,(1.67),5.65,(1.84),6.29,(2.55),6
employment,147,6.48,(1.81),5.28,(2.13),5.74,(2.08),10
enable,1484,5.93,(1.44),5.10,(1.61),5.90,(1.78),6
encourage,1485,7.27,(1.53),5.55,(1.99),6.48,(1.35),9
end,1486,3.44,(1.64),4.44,(2.17),4.41,(1.78),3
endure,1487,5.50,(1.81),5.56,(1.92),5.91,(2.05),6
energetic,2724,7.25,(1.75),6.33,(2.74),6.25,(2.19),9
energy,1488,7.23,(1.55),6.90,(1.94),6.93,(1.62),6
enforcement,1489,4.17,(1.49),5.73,(1.55),4.27,(2.29),11
engage,1490,6.31,(1.81),5.96,(2.11),5.23,(1.88),6
engaged,143,8.00,(1.38),6.77,(2.07),6.49,(2.22),7
engine,148,5.20,(1.18),3.98,(2.34),5.00,(1.78),6
engulf,1491,4.74,(1.70),4.93,(2.32),4.37,(2.54),6
enjoy,1492,8.17,(1.29),6.33,(1.94),6.40,(1.22),5
enjoyment,145,7.80,(1.20),5.20,(2.72),6.46,(1.77),9
enlighten,2725,7.22,(1.54),5.34,(2.34),5.80,(2.03),9
enlist,1493,4.03,(1.93),5.47,(1.88),4.41,(2.00),6
ennui,146,5.09,(1.76),4.40,(2.33),4.67,(1.80),5
enraged,149,2.46,(1.65),7.97,(2.17),6.33,(2.92),7
entertain,2726,7.10,(1.78),5.90,(2.34),5.73,(1.89),9
entertainment,2727,6.96,(1.92),5.69,(2.38),5.41,(1.77),13
enthusiasm,2728,7.67,(1.52),6.55,(2.18),5.98,(1.88),10
enthusiastic,1494,8.17,(1.23),7.38,(2.24),6.75,(1.71),12
entry,1495,5.69,(1.12),4.72,(1.94),5.81,(1.47),5
envelope,2729,4.98,(1.35),4.02,(2.12),5.50,(1.71),8
envious,1496,3.57,(1.76),5.57,(1.85),4.54,(2.03),7
envy,1497,3.41,(1.54),5.50,(1.74),4.13,(1.91),4
enzyme,1498,4.90,(1.63),4.34,(2.30),4.17,(1.26),6
equal,2730,6.84,(1.73),4.74,(2.16),5.85,(1.85),5
erase,1499,4.17,(1.82),4.10,(2.09),4.87,(1.80),5
erasure,1500,4.84,(0.68),4.44,(1.70),5.13,(1.21),7
erect,1501,6.26,(2.29),6.40,(2.34),5.87,(1.96),5
erode,1502,3.67,(1.65),5.17,(1.91),3.97,(1.70),5
erotic,512,7.43,(1.53),7.24,(1.97),6.39,(2.16),6
err,1503,4.16,(2.02),4.88,(1.76),4.31,(1.55),3
errand,150,4.58,(1.74),3.86,(1.92),4.78,(1.51),6
erupt,1504,5.43,(1.57),6.57,(2.14),3.80,(1.97),5
escape,2731,5.28,(2.11),6.15,(2.14),5.35,(2.14),6
essence,1505,6.75,(1.62),5.18,(2.25),5.61,(1.52),7
estate,1506,6.59,(1.96),4.86,(2.33),5.66,(2.00),6
evade,1507,4.47,(1.83),5.60,(2.24),5.53,(2.27),5
evening,2732,6.16,(1.66),4.66,(2.22),5.44,(1.60),7
event,740,6.21,(1.63),5.10,(2.40),5.52,(1.57),5
evict,1508,3.04,(1.40),5.68,(2.12),2.92,(1.91),5
evidence,2733,5.48,(1.46),4.75,(1.97),5.58,(1.78),8
evil,741,3.23,(2.64),6.39,(2.44),5.25,(2.60),4
evolve,2734,6.36,(1.72),4.81,(2.34),5.81,(1.95),6
exalt,1509,6.87,(1.59),6.00,(2.42),5.76,(1.66),5
exam,1510,2.76,(1.99),7.03,(2.43),3.34,(2.18),4
examine,2735,4.88,(1.65),4.64,(2.07),5.28,(2.05),7
exasperation,1511,4.18,(2.00),5.64,(2.59),4.57,(2.03),12
excel,1512,7.45,(1.55),5.45,(2.16),7.00,(1.75),5
excellence,151,8.38,(0.96),5.54,(2.67),7.28,(2.32),10
excellent,2736,7.20,(2.13),5.82,(2.61),6.14,(2.25),9
excessive,2737,4.58,(1.88),4.69,(2.03),5.09,(1.87),9
excite,1513,7.60,(1.29),7.16,(1.49),6.16,(1.43),6
excitement,152,7.50,(2.20),7.67,(1.91),6.18,(2.17),10
excrement,1514,4.10,(2.37),4.83,(2.10),4.53,(1.89),9
excuse,153,4.05,(1.41),4.48,(2.29),4.07,(2.10),6
execution,154,2.37,(2.06),5.71,(2.74),4.11,(2.66),9
exercise,155,7.13,(1.58),6.84,(2.06),5.68,(2.44),8
exert,1515,5.35,(1.92),5.19,(2.35),6.04,(1.48),5
exhale,1516,5.93,(1.78),4.15,(1.85),5.96,(1.53),6
exhaust,1517,4.00,(1.66),4.27,(2.20),4.43,(1.45),7
exhilaration,1518,7.43,(1.48),7.20,(2.09),6.67,(1.88),12
exist,1519,6.68,(1.76),5.39,(2.59),4.79,(2.18),5
expand,2738,6.06,(1.58),4.94,(2.26),6.03,(1.85),6
expel,1520,2.77,(1.43),5.90,(2.17),3.29,(2.00),5
expensive,1521,4.59,(2.16),6.04,(1.71),4.57,(1.89),9
expert,1522,6.40,(1.85),5.17,(2.26),6.23,(2.50),6
expire,1523,3.13,(1.41),4.60,(2.08),3.87,(1.81),6
explain,2739,5.54,(1.41),4.71,(1.93),5.58,(1.85),7
explore,2740,7.08,(1.83),6.36,(2.35),5.99,(2.14),7
explosion,1524,5.18,(2.93),7.93,(1.90),4.46,(2.92),9
extensive,2741,4.96,(1.41),4.39,(1.77),5.30,(1.46),9
extent,1525,5.20,(0.61),3.83,(1.90),5.00,(1.46),6
extravagant,2742,6.91,(1.96),5.86,(2.31),6.00,(1.96),11
extreme,1526,6.39,(1.93),7.11,(1.97),5.71,(1.61),7
eye,1527,5.86,(1.38),4.52,(2.15),5.07,(1.41),3
fabric,742,5.30,(1.20),4.14,(1.98),5.03,(1.61),6
fabulous,2743,7.70,(1.67),6.17,(2.45),6.05,(2.28),8
face,556,6.39,(1.60),5.04,(2.18),5.67,(1.58),4
fact,1528,5.55,(1.68),4.29,(1.92),5.57,(1.71),4
factory,1529,4.59,(1.80),3.93,(1.76),4.93,(1.98),7
fad,1530,5.08,(1.74),4.46,(1.98),4.15,(1.83),3
fail,1531,1.79,(1.74),6.31,(2.84),3.31,(2.77),4
failure,156,1.70,(1.07),4.95,(2.81),2.40,(2.18),7
fair,1532,6.67,(1.95),5.40,(2.08),5.77,(1.89),4
fairy,1533,6.24,(2.01),4.25,(1.90),5.43,(1.79),5
faith,1534,6.57,(2.16),5.73,(2.42),5.60,(1.85),5
fake,1535,3.10,(1.49),5.26,(2.18),4.58,(2.16),4
falcon,1536,5.79,(1.78),5.14,(2.07),5.21,(1.17),6
fall,743,4.09,(2.21),4.70,(2.48),4.00,(2.15),4
false,1537,3.74,(2.03),4.40,(2.04),4.20,(1.97),5
falter,1538,3.77,(1.61),5.00,(2.70),4.00,(1.76),6
fame,157,7.93,(1.29),6.55,(2.46),6.85,(2.14),4
familiar,2744,6.30,(1.71),3.92,(2.21),6.30,(2.13),8
family,158,7.65,(1.55),4.80,(2.71),6.00,(1.87),6
famine,1539,1.86,(1.15),5.04,(2.43),2.48,(1.93),6
famous,745,6.98,(2.07),5.73,(2.68),6.32,(2.18),6
fan,1540,6.36,(1.47),4.89,(2.34),5.33,(1.62),3
fancy,2745,6.82,(1.66),5.44,(2.07),5.81,(2.01),5
fang,2746,4.46,(1.75),5.00,(2.20),4.90,(1.85),4
fantastic,2747,7.76,(1.37),6.35,(2.32),6.01,(2.09),9
fantasy,746,7.41,(1.90),5.14,(2.82),6.43,(2.05),7
farm,557,5.53,(1.85),3.90,(1.95),5.59,(1.81),4
farmer,1541,4.93,(1.98),3.55,(2.06),5.50,(1.89),6
fart,2748,4.33,(2.49),4.45,(2.52),4.80,(2.37),4
fascinate,159,7.34,(1.68),5.83,(2.73),6.15,(1.89),9
fashion,1542,7.04,(1.73),6.00,(2.11),6.00,(1.85),7
fat,160,2.28,(1.92),4.81,(2.80),4.47,(3.06),3
fate,1543,5.43,(1.83),5.36,(2.06),4.07,(2.85),4
father,161,7.08,(2.20),5.92,(2.60),5.63,(2.89),6
fatigue,2749,3.04,(1.53),3.46,(2.11),3.79,(2.08),7
fatigued,162,3.28,(1.43),2.64,(2.19),3.78,(1.97),8
fault,747,3.43,(1.38),4.07,(1.69),4.02,(1.66),5
favor,748,6.46,(1.52),4.54,(1.86),5.67,(1.76),5
favorite,2750,7.06,(1.96),5.75,(2.25),6.02,(1.96),8
fawn,1544,6.06,(1.48),3.72,(1.90),4.84,(1.32),4
fear,592,2.76,(2.12),6.96,(2.17),3.22,(2.20),4
fearful,163,2.25,(1.18),6.33,(2.28),3.64,(2.18),7
feast,2751,6.78,(2.02),5.71,(2.38),6.03,(2.03),5
feat,1545,5.62,(1.63),5.10,(1.72),5.55,(1.80),4
feeble,164,3.26,(1.47),4.10,(2.07),2.71,(1.64),6
feeling,1546,6.23,(1.56),5.00,(2.23),5.62,(1.98),7
feet,1547,4.60,(1.81),3.67,(1.95),5.60,(1.73),4
female,1548,7.83,(1.42),5.83,(2.39),5.57,(1.55),6
fence,1549,4.93,(0.59),3.72,(1.94),4.97,(1.52),5
fender,1550,4.48,(2.03),4.86,(2.45),4.97,(1.55),6
fern,1551,5.10,(1.12),3.83,(1.90),5.30,(1.44),4
fervor,1552,5.00,(1.13),4.81,(2.08),4.44,(1.89),6
festival,2752,7.41,(1.51),6.18,(2.07),5.53,(1.62),8
festive,749,7.30,(2.26),6.58,(2.29),5.77,(2.34),7
fetus,1553,5.21,(1.42),4.97,(2.04),4.97,(2.06),5
feud,1554,3.07,(1.64),6.14,(2.01),4.13,(1.72),4
fever,750,2.76,(1.64),4.29,(2.31),3.52,(2.15),5
field,558,6.20,(1.37),4.08,(2.41),5.84,(1.94),5
fig,1555,5.63,(1.25),3.87,(2.29),4.87,(1.68),3
fight,751,3.76,(2.63),7.15,(2.19),5.27,(2.69),5
fighting,2753,3.53,(2.00),5.88,(2.42),5.52,(2.31),8
film,1556,6.93,(1.70),5.32,(1.96),5.14,(1.74),4
filth,165,2.47,(1.68),5.12,(2.32),3.81,(2.06),5
financial,1557,4.15,(2.09),5.70,(2.22),3.81,(1.98),9
finger,752,5.29,(1.42),3.78,(2.42),5.05,(1.70),6
fingerprint,1558,4.87,(0.73),4.67,(1.90),4.50,(1.55),11
finish,1559,7.80,(1.67),5.37,(2.86),6.93,(2.16),6
fire,166,3.22,(2.06),7.17,(2.06),4.49,(2.49),4
firefighter,1560,6.90,(1.61),5.93,(2.16),5.68,(2.36),11
fireplace,1561,6.93,(1.76),4.48,(2.32),5.69,(1.97),9
fireworks,513,7.55,(1.50),6.67,(2.12),5.51,(1.98),9
first,1562,6.89,(2.22),6.14,(2.48),7.21,(1.93),5
fish,559,6.04,(1.94),4.00,(2.19),6.02,(1.68),4
fisherman,1563,5.94,(1.95),4.97,(2.19),5.46,(1.79),9
fitting,1564,5.60,(1.66),4.50,(1.82),5.33,(1.17),7
flabby,167,2.66,(1.87),4.82,(2.81),3.31,(1.90),6
flag,753,6.02,(1.66),4.60,(2.35),5.50,(1.66),4
flare,1565,5.70,(1.97),5.23,(2.18),4.93,(1.41),5
flashlight,2754,5.22,(1.31),3.85,(2.06),5.56,(1.64),10
flask,2755,5.61,(1.96),4.65,(2.24),5.64,(1.88),5
flatter,2756,6.90,(1.69),5.75,(2.24),5.31,(1.89),7
flaunt,1566,5.04,(2.30),5.70,(2.22),5.22,(2.39),6
flaw,1567,3.28,(1.44),4.66,(1.72),3.45,(1.66),4
flea,1568,3.47,(2.06),5.23,(2.22),4.13,(1.63),4
flee,1569,3.29,(1.94),6.18,(2.13),3.79,(2.08),4
flight,1570,6.69,(1.38),6.25,(1.92),4.81,(1.49),6
flirt,754,7.52,(1.19),6.91,(1.69),6.24,(2.33),5
flirting,2757,7.04,(1.78),7.03,(1.91),5.48,(2.24),8
flock,1571,5.50,(1.22),4.50,(1.63),4.80,(1.27),5
flood,755,3.19,(1.66),6.00,(2.02),3.24,(2.14),5
flourish,2758,7.16,(1.80),5.65,(2.39),6.35,(1.96),8
flow,1572,5.77,(1.19),3.60,(1.79),5.43,(1.55),4
flower,168,6.64,(1.78),4.00,(2.44),4.98,(2.17),6
flu,1573,2.52,(2.20),4.83,(2.18),2.67,(1.99),3
fluffy,1574,7.17,(1.56),4.57,(2.52),5.43,(1.14),6
flute,1575,5.72,(1.44),4.25,(1.98),5.13,(1.07),5
fly,1576,7.29,(1.76),6.64,(2.08),5.18,(2.54),3
foam,756,6.07,(2.03),5.26,(2.54),5.24,(1.97),4
foe,1577,3.39,(2.10),6.00,(2.65),5.25,(2.17),3
follow,2759,5.18,(1.71),4.10,(1.85),4.50,(2.22),6
folly,1578,4.40,(1.45),4.30,(2.04),4.30,(1.34),5
food,514,7.65,(1.37),5.92,(2.11),6.18,(2.48),4
fool,2760,3.84,(1.86),4.48,(1.92),4.94,(1.99),4
foolish,1579,3.54,(1.79),4.46,(2.06),4.12,(1.77),7
foot,757,5.02,(0.93),3.27,(1.98),4.98,(1.42),4
football,1580,7.64,(1.75),6.54,(2.81),6.21,(2.26),8
forbid,1581,3.13,(1.74),5.47,(2.26),3.57,(2.01),6
forceful,1582,3.84,(1.57),5.72,(1.82),4.31,(2.21),8
forest,1583,6.39,(1.57),4.86,(2.01),5.11,(2.08),6
forgery,2761,3.27,(1.78),4.80,(2.21),4.71,(2.29),7
forget,1584,2.97,(1.54),5.00,(2.05),3.55,(1.57),6
forgive,1585,6.33,(1.80),4.89,(2.01),4.93,(2.22),7
forgot,2762,3.54,(1.68),4.39,(2.02),4.07,(2.13),6
fork,560,5.29,(0.97),3.96,(1.94),5.74,(1.52),4
fornicate,1586,5.53,(2.73),6.60,(1.99),5.80,(2.02),9
fortunate,2763,6.87,(1.87),5.45,(2.29),5.20,(2.12),9
fortune,2764,6.54,(1.82),5.37,(2.13),5.43,(1.84),7
foul,169,2.81,(1.52),4.93,(2.23),4.51,(1.89),4
fragrance,170,6.07,(1.97),4.79,(2.54),5.14,(1.91),9
frail,2765,3.50,(1.58),3.56,(1.94),4.16,(2.49),5
frantic,2766,3.44,(1.93),6.42,(2.35),4.18,(2.26),7
fraud,171,2.67,(1.66),5.75,(2.45),3.58,(2.50),5
free,172,8.26,(1.31),5.15,(3.04),6.35,(2.40),4
freedom,173,7.58,(2.04),5.52,(2.72),6.76,(2.29),7
freeway,1587,6.07,(2.00),5.87,(2.06),5.50,(1.80),7
freeze,2767,3.81,(1.93),4.65,(2.23),4.59,(2.16),6
freezer,1588,4.96,(1.87),4.30,(2.27),4.85,(1.68),7
frenzy,1589,4.97,(1.40),6.86,(1.83),4.41,(1.97),6
frequent,2768,5.32,(1.22),4.43,(1.86),5.12,(1.34),8
fresh,2769,6.95,(1.59),4.56,(2.36),5.81,(2.04),5
friend,174,7.74,(1.24),5.74,(2.57),6.74,(1.89),6
friendly,175,8.43,(1.08),5.11,(2.96),5.92,(2.42),8
friendship,2770,8.00,(1.34),6.11,(2.47),5.94,(2.05),10
fries,1590,6.81,(1.91),4.97,(2.43),5.97,(1.98),5
fright,1591,3.19,(1.41),5.77,(1.99),4.12,(1.73),6
frighten,2771,2.65,(1.45),5.71,(2.44),4.22,(2.24),8
frightened,1592,2.59,(1.50),6.90,(2.11),3.21,(2.29),10
frigid,758,3.50,(1.85),4.75,(2.56),4.27,(1.98),6
frog,176,5.71,(1.74),4.54,(2.03),5.34,(1.96),4
frolic,1593,6.64,(1.83),5.04,(2.50),5.29,(2.09),6
frosting,1594,7.23,(1.59),5.47,(1.41),5.53,(1.59),8
frown,1595,1.87,(1.31),4.27,(2.24),3.70,(1.58),5
frozen,2772,4.40,(1.67),4.20,(2.08),4.91,(1.83),6
fruit,1596,6.93,(1.82),4.63,(2.31),5.67,(2.02),5
frustrate,2773,2.78,(1.48),5.02,(2.51),4.73,(2.23),9
frustrated,177,2.48,(1.64),5.61,(2.76),3.50,(2.12),10
